ECMWF-POS2,GFS-POS2,HRDPS-POS2,ICON-POS2,REAL-POS2,Time
0.0,0.0,0.0,0.0,0.0,20:00
0.0,0.0,0.0,0.0,0.0,20:10
0.49282512,0.57395995,0.46346265,0.54277825,1.2467555,20:20
0.9616718,1.5145361,0.70174074,1.063087,4.1972823,20:30
1.3094751,3.529745,0.89548767,1.4219942,8.650756,20:40
1.6324949,4.709852,1.1324981,1.7547463,25.476295,20:50
1.9958053,5.881095,1.3388615,2.0883725,60.46497,21:00
2.9683278,10.717562,2.1305058,2.9506292,82.82262,21:10
3.9269211,12.787061,2.4619918,4.2170796,93.09608,21:20
5.579963,13.95151,3.251448,5.5027547,112.28996,21:30
8.484454,14.894789,4.146183,7.66367,191.38431,21:40
9.69329,16.008364,4.635891,8.437715,348.28757,21:50
11.750844,21.66345,5.1194158,9.39233,556.8126,22:00
