TEST-REAL-0.15,TEST-REAL-0.14,TEST-REAL-0.1375,TEST-REAL-0.135,TEST-REAL-0.13,TEST-REAL-0.12,TEST-REAL-0.11,TEST-REAL-0.10,Time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20:10
2.4061426e-06,0.3331074,0.3662583,0.37682325,0.39197886,0.47722626,0.39402896,0.4262813925743103,20:20
2.1768521e-06,0.21746978,0.22479977,0.23264684,0.3410655,0.29164043,0.4491457,0.36300423741340637,20:30
2.2538006e-06,0.36812022,0.39361054,0.51882505,0.50715166,0.55762464,0.77386373,0.6324738264083862,20:40
1.8062559e-06,0.48574245,0.59170014,0.70135194,0.72860324,0.884247,1.0875955,1.160990595817566,20:50
2.791649e-06,0.20704654,0.38652894,0.3453078,0.19558148,0.2496843,0.544034,0.3785055875778198,21:00
1.97167e-06,0.27304402,0.53428936,0.3263438,0.7608597,0.5276118,1.1649001,0.5359973311424255,21:10
2.1030914e-06,0.30475965,0.43731296,0.5207384,0.25982323,1.1174623,1.1532501,1.2870142459869385,21:20
2.4320739e-06,0.18258159,0.33157238,0.45788178,0.93365186,0.86391664,1.1239725,1.254467248916626,21:30
1.8065604e-06,0.14651684,0.13774031,0.2512177,0.46318212,0.5994824,0.85704035,0.6744813323020935,21:40
1.414215e-06,0.1586138,0.4749592,0.36235946,0.38549665,0.34445584,0.6972108,1.3394697904586792,21:50
1.9216864e-06,0.15769431,0.23267628,0.4759556,0.39294147,0.83933496,0.65211976,1.6991827487945557,22:00
1.6913114e-06,0.09073536,0.6443908,0.42328084,0.34091476,0.93335205,0.68167883,2.035973310470581,22:10
1.9020033e-06,0.27954602,0.25866613,0.26484388,0.47191322,0.659798,1.363832,2.035973310470581,22:20
2.051373e-06,0.23267213,0.22667947,0.27178267,0.6134848,0.9176139,1.9496591,2.0359737873077393,22:30
1.8299329e-06,0.2658367,0.34433958,0.16041052,0.46023604,0.67257345,1.9496592,2.0359737873077393,22:40
1.7506602e-06,0.108218424,0.19145021,0.40584388,0.48048845,0.9965215,1.7734604,2.0359737873077393,22:50
1.6519854e-06,0.20639509,0.44525707,0.33412656,0.49152166,1.5478661,1.2285296,1.822318434715271,23:00
1.3920165e-06,0.26919547,0.28818494,0.17834623,0.24413672,0.9639923,1.803641,2.0359737873077393,23:10
1.6253013e-06,0.17239207,0.37859887,0.2830389,0.6308939,1.811753,1.9496591,2.0359737873077393,23:20
1.903839e-06,0.2669806,0.12779477,0.310605,0.24766997,1.2495801,1.3019773,2.0359737873077393,23:30
1.6145422e-06,0.25845423,0.21621084,0.09353015,0.47858542,1.811753,1.7820574,2.0359737873077393,23:40
1.6605308e-06,0.44592553,0.39071134,0.19168632,0.60417527,1.1103578,1.9496591,2.0359737873077393,23:50
1.5805913e-06,0.19012412,0.43708628,0.14305237,0.5781182,0.53167737,1.9496591,2.0359737873077393,00:00
1.4869104e-06,0.13121325,0.0991842,0.7060624,1.0230005,1.811753,1.9496591,1.9982240200042725,00:10
1.2742742e-06,0.26126578,0.43435195,0.62846386,0.8648558,1.4768796,1.9496591,2.0359737873077393,00:20
1.0792636e-06,0.19652544,0.19068302,0.51695144,0.5108477,1.520226,1.9496592,2.0359737873077393,00:30
1.201566e-06,0.16653192,0.46874025,0.5002218,0.719003,1.3018537,1.9496591,2.0359737873077393,00:40
1.3840863e-06,0.35132125,0.27360666,0.5617823,0.4853704,1.1991247,1.9496591,2.0359737873077393,00:50
1.2787536e-06,0.26327574,0.4299093,0.31364408,0.6202054,1.6573464,1.7102184,2.0359737873077393,01:00
1.3335117e-06,0.32617977,0.2699893,0.5417621,1.0607522,1.0728923,1.9496591,,01:10
1.1378655e-06,0.15217121,0.33412278,0.46115696,1.5401165,0.92317975,1.9153401,,01:20
1.1509145e-06,0.10597742,0.6408717,0.46332625,1.352938,1.1788021,1.6044149,,01:30
1.0061179e-06,0.29518914,0.15385246,0.58280027,1.1387014,1.2460822,1.6324025,,01:40
1.1216498e-06,0.44710565,0.5168373,0.606021,1.4911573,1.759866,1.8371089,,01:50
1.0971343e-06,0.17710131,0.38079277,0.7143071,1.5929064,1.811753,1.9496591,,02:00
