TEST-REAL-0.15,TEST-REAL-0.14,TEST-REAL-0.1375,TEST-REAL-0.135,TEST-REAL-0.13,TEST-REAL-0.12,TEST-REAL-0.11,TEST-REAL-0.10,Time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20:10
1.7161818e-06,0.35386595,0.35856387,0.32765353,0.28470534,0.33009666,0.1855751,0.20040084421634674,20:20
1.3804304e-06,0.14004317,0.12408382,0.11484426,0.21039586,0.11315975,0.24667574,0.14131680130958557,20:30
1.4887142e-06,0.43974245,0.41933858,0.6566514,0.49842817,0.46305862,0.8049568,0.47248852252960205,20:40
9.2006735e-07,0.8034763,1.01724,1.2645409,1.0956576,1.2616012,1.6868763,1.7694547176361084,20:50
2.370644e-06,0.12586075,0.4031106,0.27099138,0.06280805,0.08073232,0.3741798,0.15476521849632263,21:00
1.1131349e-06,0.22967722,0.81482506,0.23967743,1.2038537,0.41058424,1.9584479,0.32970884442329407,21:10
1.2807646e-06,0.2916537,0.52719146,0.6619272,0.11645765,2.0985558,1.9161195,2.213768482208252,21:20
1.7566438e-06,0.09575705,0.28882423,0.5004514,1.8784167,1.1993936,1.8119441,2.0938689708709717,21:30
9.204046e-07,0.0593487,0.04278074,0.13571128,0.4092424,0.54196566,1.0049789,0.5433791875839233,21:40
5.4051947e-07,0.07051961,0.63086075,0.30092782,0.27456933,0.16249314,0.641643,2.414618968963623,21:50
1.0527009e-06,0.06963392,0.13372996,0.54439247,0.28622743,1.1264411,0.55484307,4.049760818481445,22:00
7.975207e-07,0.020940933,1.2245085,0.42186904,0.21019375,1.4188875,0.6109748,5.999999046325684,22:10
1.0294015e-06,0.24173343,0.1683455,0.1522246,0.42619845,0.66754675,2.759083,5.999997615814209,22:20
1.2132818e-06,0.16220205,0.12635045,0.16102819,0.75389546,1.3673905,6.0,6.0,22:30
9.464879e-07,0.21670148,0.31354833,0.05117996,0.4036049,0.69596535,6.0000005,6.0,22:40
8.5961403e-07,0.030715236,0.087519825,0.38500038,0.44321415,1.6359746,4.883404,6.0,22:50
7.577577e-07,0.12500145,0.5482329,0.25227743,0.46563733,4.2611847,2.1984818,4.71500301361084,23:00
5.2224493e-07,0.22269775,0.2129251,0.06444178,0.10171263,1.522102,5.0658736,6.0,23:10
7.314013e-07,0.084518954,0.385348,0.17587972,0.8011791,6.0,6.0,6.000000476837158,23:20
1.0315626e-06,0.21873371,0.03634894,0.21525826,0.104939885,2.675613,2.4942744,6.000000953674316,23:30
7.209167e-07,0.20383193,0.1140082,0.015841378,0.439407,6.0,4.9350123,6.0,23:40
7.6630465e-07,0.66715366,0.41265306,0.07538241,0.72924674,2.0696595,6.0,6.0,23:50
6.883674e-07,0.10456556,0.5265976,0.039900128,0.6626011,0.41749322,6.0,6.0,00:00
6.027483e-07,0.046693802,0.020951152,1.2830765,2.291271,6.0,6.0,5.760786056518555,00:10
4.309592e-07,0.20868307,0.5194624,0.9961702,1.5904802,3.84776,6.0,6.0,00:20
3.0034485e-07,0.11237065,0.08675921,0.6515072,0.50635856,4.0975,6.0000005,6.0,00:30
3.7928723e-07,0.078397505,0.6130416,0.6065412,1.0645162,2.9249241,6.0,6.0,00:40
5.157988e-07,0.39728296,0.19020283,0.7806157,0.45306218,2.4463058,6.0,6.000000476837158,00:50
4.3425945e-07,0.21218887,0.5079812,0.21986324,0.77196485,4.9436975,4.5127387,6.0,01:00
4.757032e-07,0.33806244,0.18477856,0.7214026,2.4790745,1.9208473,6.0,,01:10
3.3693073e-07,0.06444082,0.29367557,0.5082659,5.576123,1.385485,5.772772,,01:20
3.4538712e-07,0.029349294,1.2100178,0.5134779,4.207208,2.3570716,3.9277782,,01:30
2.5784715e-07,0.2721093,0.054411467,0.84550256,2.89226,2.6593568,4.078254,,01:40
3.2657977e-07,0.6709978,0.7580726,0.92045313,5.197951,5.6327147,5.272451,,01:50
3.112613e-07,0.08961868,0.39021885,1.315871,6.0,6.0,6.0,,02:00
