date,geopotential_height_1000hPa,geopotential_height_950hPa,geopotential_height_850hPa,geopotential_height_700hPa,geopotential_height_500hPa,geopotential_height_250hPa,temperature_1000hPa,temperature_975hPa,temperature_950hPa,temperature_925hPa,temperature_900hPa,temperature_850hPa,temperature_800hPa,temperature_200hPa,temperature_250hPa,temperature_300hPa,temperature_400hPa,temperature_500hPa,temperature_600hPa,temperature_700hPa,temperature_50hPa,temperature_70hPa,temperature_100hPa,temperature_150hPa,relative_humidity_1000hPa,relative_humidity_975hPa,relative_humidity_950hPa,relative_humidity_925hPa,relative_humidity_900hPa,relative_humidity_850hPa,relative_humidity_800hPa,relative_humidity_200hPa,relative_humidity_250hPa,relative_humidity_300hPa,relative_humidity_400hPa,relative_humidity_500hPa,relative_humidity_600hPa,relative_humidity_700hPa,relative_humidity_50hPa,relative_humidity_70hPa,relative_humidity_100hPa,relative_humidity_150hPa,wind_speed_1000hPa,wind_speed_975hPa,wind_speed_950hPa,wind_speed_925hPa,wind_speed_900hPa,wind_speed_850hPa,wind_speed_800hPa,wind_speed_200hPa,wind_speed_250hPa,wind_speed_300hPa,wind_speed_400hPa,wind_speed_500hPa,wind_speed_600hPa,wind_speed_700hPa,wind_speed_50hPa,wind_speed_70hPa,wind_speed_100hPa,wind_speed_150hPa,wind_direction_1000hPa,wind_direction_975hPa,wind_direction_950hPa,wind_direction_925hPa,wind_direction_900hPa,wind_direction_850hPa,wind_direction_800hPa,wind_direction_200hPa,wind_direction_250hPa,wind_direction_300hPa,wind_direction_400hPa,wind_direction_500hPa,wind_direction_600hPa,wind_direction_700hPa,wind_direction_50hPa,wind_direction_70hPa,wind_direction_100hPa,wind_direction_150hPa,geopotential_height_975hPa,geopotential_height_925hPa,geopotential_height_900hPa,geopotential_height_800hPa,geopotential_height_200hPa,geopotential_height_300hPa,geopotential_height_400hPa,geopotential_height_600hPa,geopotential_height_50hPa,geopotential_height_70hPa,geopotential_height_100hPa,geopotential_height_150hPa,temperature_2m,relative_humidity_2m,dew_point_2m,pressure_msl,surface_pressure,vapour_pressure_deficit,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2025-09-25 00:00:00+00:00,113.0,563.0,1522.0,3132.0,5799.0,10771.429,25.7,,25.136362,22.640627,20.32258,16.172415,11.666666,-57.5,-48.0,-38.0,-20.681818,-8.166667,-2.2105262,2.8913043,-60.0,,-62.0,-62.0,26.0,,25.0,27.0,31.0,42.0,53.0,30.0,33.333336,26.0,13.333333,10.0,47.5,77.77778,0.0,,3.3333333,2.8571427,9.0,,10.83871,13.273742,11.720929,1.3670886,12.999999,92.399994,64.799995,56.4,59.999996,80.4,85.90909,36.0,25.199999,,62.4,109.2,352.0,,351.0638,351.64832,356.81818,229.26828,207.89474,260.0,260.0,260.0,260.0,255.0,246.15385,225.0,270.0,,260.0,260.0,,796.0,1033.0,2033.0,12206.977,9543.548,7491.358,4366.0,20806.896,,16504.168,14000.0,26.4605,24.0,4.2565556,1014.2,969.17267,2.6259737,9.0,353.0,13.679999
2025-09-25 01:00:00+00:00,112.0,560.0,1517.0,3128.0,5797.0,10771.429,24.3,,23.863636,21.765627,19.870966,16.293104,12.055555,-57.0,-48.0,-38.0,-20.681818,-7.9333334,-2.0263157,2.8913043,-59.5,,-62.5,-62.0,31.0,,31.0,33.0,35.0,43.0,52.0,22.5,26.666668,24.0,11.666666,8.571428,40.0,76.66667,0.0,,3.3333333,2.8571427,10.440001,,12.387097,17.698322,14.651162,4.101266,13.999999,87.6,66.0,52.8,56.4,77.99999,83.454544,43.448273,19.2,,66.0,106.799995,358.0,,359.57443,4.395604,15.909091,97.56097,205.26315,260.0,255.0,255.0,260.0,255.0,242.30771,221.875,280.0,,260.0,260.0,,791.0,1028.0,2028.0,12211.628,9543.548,7490.1235,4364.0,20813.793,,16508.334,14005.97,24.7105,31.0,6.446528,1013.9,968.6286,2.149147,10.440001,358.0,16.919998
2025-09-25 02:00:00+00:00,113.0,558.0,1515.0,3126.0,5796.0,10771.429,22.0,,22.060606,21.437502,19.870966,16.172415,11.537037,-57.0,-47.5,-38.0,-20.681818,-7.7000003,-2.0263157,3.0434783,-60.0,,-62.0,-62.0,39.0,,37.0,35.0,36.0,40.0,52.0,17.5,22.222223,24.0,10.0,7.142857,36.25,71.111115,0.0,,3.3333333,11.428571,8.28,,11.225807,20.11173,15.488371,7.7468348,11.5,87.6,67.2,49.2,51.6,75.6,83.454544,44.68965,18.0,,63.599995,106.799995,358.0,,359.57443,10.98901,25.0,85.365845,186.8421,255.0,250.0,245.0,255.0,255.0,242.30771,218.75,270.0,,265.0,255.0,,790.0,1026.0,2026.0,12211.628,9541.936,7490.1235,4361.0,20813.793,,16508.334,14005.97,22.1605,39.0,7.552017,1014.0,968.34393,1.6294328,8.28,357.0,8.28
2025-09-25 03:00:00+00:00,116.0,558.0,1514.0,3126.0,5795.0,10767.619,20.1,,20.787878,21.109377,19.64516,16.172415,11.537037,-57.0,-47.5,-38.0,-20.681818,-7.9333334,-2.0263157,3.195652,-60.0,,-62.0,-61.5,45.0,,40.0,36.0,37.0,41.0,51.0,20.0,15.555556,24.0,8.333333,5.714286,31.25,67.77778,0.0,,3.3333333,8.571428,6.4799995,,8.903227,14.882681,10.046511,7.7468348,14.999999,95.99999,75.6,51.6,50.399998,74.399994,80.18181,44.68965,21.599998,,59.999996,111.6,348.0,,357.44678,10.98901,29.545454,117.073166,197.36842,250.0,250.0,240.0,255.0,250.0,238.46155,218.75,260.0,,265.0,255.0,,789.0,1025.0,2025.0,12209.302,9538.71,7487.6543,4361.0,20813.793,,16512.5,14002.984,19.6605,47.0,8.034852,1014.1,968.06,1.2142712,6.4799995,348.0,6.4799995
2025-09-25 04:00:00+00:00,116.0,557.0,1512.0,3124.0,5794.0,10763.81,18.9,,19.621212,20.562502,19.30645,15.931035,11.925925,-57.0,-47.5,-38.0,-21.0,-8.166667,-1.8421052,3.347826,-60.5,,-62.5,-61.0,58.0,,47.0,38.0,38.0,42.0,48.0,35.0,17.777779,18.0,6.6666665,7.142857,26.25,71.111115,0.0,,3.3333333,5.7142854,4.32,,5.806452,9.251395,5.4418597,6.835443,18.0,106.799995,92.399994,62.4,54.0,76.8,78.545456,44.68965,27.599998,,58.8,115.2,340.0,,348.93616,13.186812,50.0,141.46341,207.89474,250.0,250.0,245.0,250.0,250.0,238.46155,212.5,255.0,,260.0,255.0,,788.0,1024.0,2023.0,12204.651,9535.483,7485.185,4361.0,20806.896,,16512.5,14002.984,17.7605,63.0,10.624791,1014.1,967.7678,0.7527813,4.32,340.0,4.32
2025-09-25 05:00:00+00:00,116.0,556.0,1510.0,3122.0,5792.0,10761.905,18.3,,18.560606,20.234377,19.193546,15.689655,11.925925,-57.5,-47.5,-38.0,-21.318182,-8.400001,-1.8421052,3.6521738,-60.5,,-62.5,-61.0,61.0,,52.0,40.0,38.0,43.0,47.0,35.0,26.666668,10.0,6.6666665,10.0,23.75,67.77778,0.0,,3.3333333,5.7142854,2.52,,3.4838712,4.4245806,2.9302323,7.291139,19.999998,118.799995,108.0,80.4,59.999996,81.6,79.36363,45.93103,33.6,,61.199997,116.399994,340.0,,351.0638,24.175821,93.181816,170.73169,207.89474,250.0,250.0,245.0,250.0,245.0,234.61539,212.5,255.0,,255.0,255.0,,786.0,1022.0,2020.0,12200.0,9530.6455,7481.4814,4359.0,20806.896,,16508.334,13997.015,16.9605,66.0,10.56446,1014.0,967.54803,0.6576948,2.52,341.0,2.52
2025-09-25 06:00:00+00:00,122.0,558.0,1510.0,3122.0,5793.0,10763.81,15.9,,15.90909,19.359377,18.854837,15.4482765,11.796296,-57.5,-47.5,-37.5,-21.318182,-8.633333,-1.6578946,3.8043478,-60.5,,-62.5,-61.0,74.0,,64.0,44.0,39.0,43.0,47.0,37.5,33.333336,14.0,8.333333,12.857143,25.0,67.77778,0.0,,3.3333333,5.7142854,1.4399999,,1.9354839,2.011173,2.5116277,8.658227,19.499998,117.6,112.8,94.8,74.399994,84.0,81.0,45.31034,34.8,,66.0,112.8,2.0,,12.765957,28.571426,145.45454,187.80487,205.26315,250.0,250.0,250.0,250.0,245.0,234.61539,209.375,260.0,,255.0,250.0,,787.0,1022.0,2020.0,12202.325,9532.258,7481.4814,4360.0,20806.896,,16504.168,13997.015,14.5105,81.0,11.288258,1014.6,967.7359,0.31426036,1.4399999,3.0,1.4399999
2025-09-25 07:00:00+00:00,115.0,553.0,1504.0,3115.0,5787.0,10758.096,17.1,,16.863636,19.250002,18.403225,15.206897,11.537037,-57.5,-47.5,-37.5,-21.318182,-8.866667,-1.4736842,3.8043478,-61.0,,-62.0,-60.5,60.0,,55.0,41.0,39.0,43.0,48.0,47.5,31.111113,18.0,10.0,20.0,26.25,60.0,0.0,,3.3333333,8.571428,0.35999998,,0.3870968,0.80446917,4.186046,12.303797,23.999998,117.6,112.8,100.799995,87.6,90.0,83.454544,48.41379,36.0,,66.0,113.99999,36.0,,42.55319,142.85713,184.09091,197.56096,205.26315,245.0,250.0,250.0,245.0,245.0,234.61539,215.625,260.0,,255.0,250.0,,782.0,1017.0,2014.0,12195.349,9524.193,7472.8394,4354.0,20800.0,,16500.0,13991.044,15.9105,64.0,9.107827,1013.8,967.19324,0.6514678,0.35999998,35.0,0.35999998
2025-09-25 08:00:00+00:00,115.0,551.0,1501.0,3110.0,5783.0,10750.477,16.7,,15.80303,18.703127,17.951612,14.965517,11.407407,-57.5,-47.5,-37.5,-21.636364,-9.1,-1.2894737,3.8043478,-60.5,,-62.0,-60.5,59.0,,57.0,42.0,41.0,44.0,49.0,47.5,31.111113,18.0,11.666666,22.857143,31.25,57.77778,0.0,,3.3333333,8.571428,1.08,,1.1612904,2.4134076,5.8604646,15.4936695,27.499998,113.99999,109.2,103.2,94.8,92.399994,84.27272,50.27586,37.199997,,72.0,115.2,126.0,,131.91489,178.02196,197.72728,202.43901,207.89474,245.0,245.0,245.0,245.0,240.0,234.61539,215.625,270.0,,255.0,250.0,,780.0,1014.0,2010.0,12188.372,9519.3545,7467.9014,4350.0,20793.104,,16491.668,13985.074,15.1605,65.0,8.625694,1013.7,966.97986,0.6036968,1.08,127.0,1.08
2025-09-25 09:00:00+00:00,115.0,550.0,1498.0,3107.0,5778.0,10742.857,16.3,,15.060606,18.156252,17.387096,14.603449,11.277778,-57.5,-47.5,-37.5,-21.636364,-9.333334,-1.2894737,3.9565215,-60.5,,-62.0,-60.5,59.0,,59.0,44.0,46.0,45.0,50.0,42.5,35.555557,18.0,13.333333,21.428572,33.75,57.77778,0.0,,3.3333333,8.571428,1.4399999,,1.9354839,3.6201112,7.953488,19.13924,29.999998,111.6,106.799995,104.399994,100.799995,93.6,84.27272,52.758617,36.0,,76.8,115.2,136.0,,140.42552,184.61537,202.27274,207.31706,210.52632,240.0,240.0,240.0,245.0,240.0,234.61539,218.75,270.0,,255.0,245.0,,778.0,1013.0,2007.0,12179.069,9511.29,7462.963,4347.0,20793.104,,16483.334,13976.119,14.5105,66.0,8.232974,1013.7,966.8775,0.56243014,1.4399999,136.0,1.4399999
2025-09-25 10:00:00+00:00,114.0,549.0,1496.0,3103.0,5774.0,10731.429,16.1,,14.742424,17.828127,16.82258,14.24138,11.018518,-57.0,-48.0,-38.0,-21.954546,-9.566667,-1.4736842,3.8043478,-60.0,,-62.0,-60.0,60.0,,60.0,48.0,50.0,47.0,53.0,37.5,42.222225,22.0,16.666666,22.857143,32.5,57.77778,0.0,,3.3333333,8.571428,1.8,,2.3225808,4.4245806,10.046511,22.329113,31.999998,112.8,108.0,108.0,104.399994,95.99999,84.27272,53.37931,32.399998,,79.2,115.2,138.0,,142.55318,191.20877,204.54546,209.75609,213.1579,235.0,235.0,240.0,245.0,240.0,234.61539,218.75,280.0,,255.0,245.0,,777.0,1011.0,2005.0,12169.768,9503.226,7456.79,4343.0,20793.104,,16479.168,13970.148,14.3605,67.0,8.311792,1013.6,966.75824,0.5406257,1.8,138.0,1.8
2025-09-25 11:00:00+00:00,113.0,548.0,1494.0,3100.0,5768.0,10721.905,15.9,,14.530303,17.500002,16.370966,13.879311,10.5,-57.0,-48.0,-38.5,-22.272728,-9.8,-1.6578946,3.6521738,-60.0,,-62.0,-59.5,61.0,,61.0,51.0,50.0,48.0,64.0,35.0,44.444447,26.0,20.0,24.285715,28.75,55.555557,0.0,,3.3333333,8.571428,2.16,,2.3225808,5.2290497,12.976743,24.607594,32.999996,116.399994,110.399994,111.6,104.399994,97.2,84.27272,53.999996,29.999998,,80.4,113.99999,134.0,,138.29787,191.20877,211.36363,214.63414,215.78947,230.0,235.0,235.0,240.0,245.0,234.61539,221.875,290.0,,255.0,245.0,,776.0,1010.0,2002.0,12158.14,9493.548,7450.617,4339.0,20786.207,,16479.168,13964.179,14.3605,67.0,8.311792,1013.5,966.6629,0.5406257,2.16,135.0,2.16
