date,geopotential_height_1000hPa,geopotential_height_950hPa,geopotential_height_850hPa,geopotential_height_700hPa,geopotential_height_500hPa,geopotential_height_250hPa,temperature_1000hPa,temperature_975hPa,temperature_950hPa,temperature_925hPa,temperature_900hPa,temperature_850hPa,temperature_800hPa,temperature_200hPa,temperature_250hPa,temperature_300hPa,temperature_400hPa,temperature_500hPa,temperature_600hPa,temperature_700hPa,temperature_50hPa,temperature_70hPa,temperature_100hPa,temperature_150hPa,relative_humidity_1000hPa,relative_humidity_975hPa,relative_humidity_950hPa,relative_humidity_925hPa,relative_humidity_900hPa,relative_humidity_850hPa,relative_humidity_800hPa,relative_humidity_200hPa,relative_humidity_250hPa,relative_humidity_300hPa,relative_humidity_400hPa,relative_humidity_500hPa,relative_humidity_600hPa,relative_humidity_700hPa,relative_humidity_50hPa,relative_humidity_70hPa,relative_humidity_100hPa,relative_humidity_150hPa,wind_speed_1000hPa,wind_speed_975hPa,wind_speed_950hPa,wind_speed_925hPa,wind_speed_900hPa,wind_speed_850hPa,wind_speed_800hPa,wind_speed_200hPa,wind_speed_250hPa,wind_speed_300hPa,wind_speed_400hPa,wind_speed_500hPa,wind_speed_600hPa,wind_speed_700hPa,wind_speed_50hPa,wind_speed_70hPa,wind_speed_100hPa,wind_speed_150hPa,wind_direction_1000hPa,wind_direction_975hPa,wind_direction_950hPa,wind_direction_925hPa,wind_direction_900hPa,wind_direction_850hPa,wind_direction_800hPa,wind_direction_200hPa,wind_direction_250hPa,wind_direction_300hPa,wind_direction_400hPa,wind_direction_500hPa,wind_direction_600hPa,wind_direction_700hPa,wind_direction_50hPa,wind_direction_70hPa,wind_direction_100hPa,wind_direction_150hPa,geopotential_height_975hPa,geopotential_height_925hPa,geopotential_height_900hPa,geopotential_height_800hPa,geopotential_height_200hPa,geopotential_height_300hPa,geopotential_height_400hPa,geopotential_height_600hPa,geopotential_height_50hPa,geopotential_height_70hPa,geopotential_height_100hPa,geopotential_height_150hPa,temperature_2m,relative_humidity_2m,dew_point_2m,pressure_msl,surface_pressure,vapour_pressure_deficit,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2025-09-25 00:00:00+00:00,156.0,591.0,1520.0,3084.0,5702.0,10641.905,18.5,17.098484,15.696969,13.671876,11.403225,6.7586207,2.5925925,-56.0,-50.0,-39.0,-21.954546,-10.966667,-8.473683,-0.76086956,-58.0,-59.0,-59.0,-60.0,45.0,45.0,45.0,48.0,54.0,70.0,71.0,37.5,40.0,24.0,21.666666,21.428572,3.75,4.4444447,0.0,0.0,3.3333333,5.7142854,12.879752,12.758866,12.638577,18.529005,19.47749,20.802917,30.108137,137.97913,139.49452,134.7264,128.73601,114.101,78.698715,71.10622,38.736027,48.536995,84.54679,131.72697,296.56497,296.95367,297.3498,297.12122,298.21725,298.8107,305.53775,277.49576,291.70993,287.6281,286.23892,272.41098,273.57626,286.22028,286.18927,261.46933,276.5197,276.8012,371.20886,816.0,1046.0,2014.0,12074.418,9422.581,7379.012,4295.0,20779.31,18666.666,16425.0,13889.552,15.8005,45.0,3.8861191,1018.6,947.85785,0.9884801,12.879752,296.56497,26.28
2025-09-25 01:00:00+00:00,160.0,594.0,1522.0,3087.0,5710.0,10655.238,17.8,16.377272,14.954545,13.562501,11.290322,6.7586207,2.8518517,-57.0,-49.5,-39.0,-21.318182,-10.733334,-7.7368417,-1.0652174,-58.5,-59.0,-59.0,-60.5,47.0,47.0,47.0,48.0,53.0,68.0,56.0,47.5,51.11111,34.0,23.333332,18.571428,5.0,6.666667,0.0,0.0,3.3333333,8.571428,7.729527,7.7594295,7.7901726,15.666507,17.086044,18.21075,32.534595,137.45108,138.66101,135.34488,114.09469,108.32617,69.8528,69.25072,37.219353,48.373543,82.162766,126.96204,297.75842,297.15936,296.56497,299.1974,300.96368,301.7014,313.7547,282.09473,293.45905,280.2139,284.6209,274.4473,275.37662,284.5345,290.77234,262.8751,276.70975,277.05774,374.72052,819.0,1049.0,2016.0,12083.721,9435.483,7387.6543,4299.0,20779.31,18666.666,16425.0,13892.537,14.5005,49.0,3.909209,1019.1,948.01685,0.8431937,7.729527,297.75842,23.4
2025-09-25 02:00:00+00:00,164.0,597.0,1524.0,3089.0,5714.0,10662.857,15.6,14.216667,12.833333,13.343751,11.290322,6.7586207,2.722222,-57.5,-49.5,-38.5,-21.954546,-10.733334,-6.9999995,-1.3695651,-58.5,-58.5,-59.0,-61.0,56.0,56.0,56.0,47.0,51.0,62.0,50.0,50.0,62.222225,40.0,26.666666,20.0,5.0,10.0,0.0,0.0,3.3333333,8.571428,4.32,4.2890325,4.2580647,13.151287,15.7964325,17.32245,31.890436,139.26723,130.20415,129.82758,105.95395,102.45077,68.06171,64.98297,34.36277,47.04551,81.290596,122.19984,270.0,270.0,270.0,293.4287,302.00534,305.36255,318.81415,288.59116,289.93808,278.5045,283.0919,275.37662,279.68872,287.2235,294.77512,264.14407,278.48886,277.3343,378.23215,821.0,1050.0,2018.0,12090.697,9441.936,7391.358,4301.0,20779.31,18666.666,16425.0,13892.537,11.6005,59.0,3.8564668,1019.8,947.9747,0.56095934,4.32,270.0,13.32
2025-09-25 03:00:00+00:00,172.0,601.0,1527.0,3093.0,5720.0,10672.382,13.6,12.209091,10.818181,13.015626,11.177419,6.7586207,2.722222,-58.0,-49.0,-38.0,-21.954546,-10.733334,-6.815789,-1.2173913,-58.5,-59.0,-59.5,-61.0,65.0,65.0,65.0,48.0,49.0,56.0,48.0,52.5,55.555557,38.0,26.666666,22.857143,5.0,12.222222,0.0,0.0,3.3333333,8.571428,4.198285,4.191502,4.1870923,10.25501,12.655436,16.436678,29.206163,138.9204,125.742584,128.46727,96.07497,96.60558,63.30211,61.651703,29.024128,43.465847,79.5447,118.63019,239.0363,237.67493,236.3099,281.3099,304.21576,313.87677,321.9529,289.6872,283.24054,278.05432,279.3446,276.4187,284.21588,286.9756,299.74478,263.6599,281.3099,277.55624,384.2725,824.0,1054.0,2021.0,12102.325,9448.387,7400.0,4307.0,20779.31,18672.13,16425.0,13898.507,9.4505,70.0,4.251498,1020.8,948.38074,0.35570168,4.198285,239.0363,6.8399997
2025-09-25 04:00:00+00:00,177.0,603.0,1528.0,3094.0,5723.0,10680.0,11.6,10.201515,8.80303,12.687501,11.177419,6.8793106,2.5925925,-58.5,-48.5,-38.0,-22.272728,-10.733334,-6.447368,-1.2173913,-59.0,-59.0,-59.5,-61.5,77.0,77.0,77.0,51.0,47.0,50.0,44.0,52.5,57.77778,32.0,33.333332,22.857143,6.25,16.666668,0.0,0.0,3.3333333,8.571428,4.6102495,4.634195,4.661263,8.683052,8.6195965,12.905135,22.743128,130.93204,124.29127,120.723816,94.36609,92.32985,55.888462,56.455463,25.765093,42.426407,76.01789,116.41856,218.65984,220.15479,221.63345,256.60748,299.0545,317.86246,326.65927,289.26535,280.0079,276.2772,277.30566,278.97253,287.90454,284.6474,297.75842,261.87,281.84204,278.29706,387.80527,825.0,1055.0,2022.0,12111.628,9454.839,7404.9385,4310.0,20779.31,18666.666,16429.168,13901.492,7.5005,81.0,4.450239,1021.6,948.6423,0.19741917,4.6102495,218.65984,7.2
2025-09-25 05:00:00+00:00,180.0,605.0,1528.0,3095.0,5726.0,10685.715,10.1,8.709091,7.3181815,12.140626,10.951612,6.7586207,2.722222,-59.0,-48.0,-38.0,-22.272728,-10.266667,-6.2631574,-1.0652174,-59.0,-59.5,-59.5,-62.0,86.0,86.0,86.0,57.0,50.0,48.0,38.0,52.5,57.77778,40.0,38.333332,18.571428,6.25,21.111113,0.0,0.0,3.3333333,11.428571,4.6938257,4.6036577,4.5142856,10.558179,5.505884,7.0889688,15.443443,118.51481,117.016914,115.70513,91.397156,81.49405,47.88286,50.291183,21.633307,41.238815,71.809746,111.670944,212.47118,211.73213,210.96368,229.63554,261.2539,315.0001,330.9455,285.86578,275.8859,275.35574,273.76395,283.627,286.88687,282.8356,289.44012,261.6342,279.61966,278.65247,390.31284,826.0,1055.0,2022.0,12118.6045,9458.064,7408.642,4312.0,20779.31,18666.666,16429.168,13904.478,6.1505003,88.0,4.3110723,1022.1,948.7691,0.113657534,4.6938257,212.47118,7.5599995
2025-09-25 06:00:00+00:00,178.0,601.0,1521.0,3089.0,5722.0,10681.905,8.8,7.4227276,6.0454545,10.828126,10.048387,6.275862,3.7592592,-59.0,-48.0,-38.0,-21.954546,-10.5,-5.5263157,-1.2173913,-59.0,-59.5,-59.0,-61.5,87.0,87.0,87.0,63.0,61.0,50.0,21.0,55.0,53.333336,46.0,38.333332,21.428572,11.25,23.333334,0.0,0.0,3.3333333,8.571428,4.829907,4.839337,4.850309,15.358831,12.895469,7.418196,16.507572,104.64798,111.65804,108.10661,87.6,74.51604,51.668682,51.021294,21.633307,44.803566,71.16515,104.64798,206.56499,207.58983,208.61037,224.9999,234.24602,280.6196,324.86572,273.9451,268.15244,272.54474,270.0,284.93146,280.954,279.80603,273.17978,262.30405,275.80664,273.9451,387.33493,821.0,1049.0,2015.0,12113.953,9454.839,7404.9385,4307.0,20772.414,18661.203,16425.0,13898.507,5.0505004,90.0,3.5458026,1022.0,948.39905,0.08776462,4.829907,206.56499,7.2
2025-09-25 07:00:00+00:00,176.0,598.0,1518.0,3087.0,5723.0,10680.0,8.2,6.8575754,5.5151515,10.828126,10.16129,6.5172415,4.148148,-59.0,-48.0,-38.0,-21.954546,-10.966667,-4.973684,-0.91304344,-59.0,-60.0,-59.5,-61.5,89.0,89.0,89.0,62.0,60.0,46.0,21.0,55.0,55.555557,54.0,54.999996,27.142859,13.75,31.111113,0.0,0.0,3.3333333,8.571428,3.9763298,3.9332623,3.8902745,13.521306,13.356046,6.1307654,10.700466,98.66306,108.32617,103.20697,90.07197,64.51046,46.66506,45.37831,23.082462,46.164925,68.44209,102.02824,185.19434,185.4496,185.7105,210.37904,212.19571,228.01286,307.40543,265.81516,265.5527,269.3338,267.70944,279.63748,272.00952,273.1363,261.02747,261.02747,272.00952,271.34784,384.84323,817.0,1046.0,2012.0,12111.628,9453.226,7403.7036,4307.0,20765.518,18655.738,16425.0,13898.507,4.5005,91.0,3.1587064,1021.8,948.0739,0.076015174,3.9763298,185.19434,7.5599995
2025-09-25 08:00:00+00:00,174.0,594.0,1514.0,3085.0,5725.0,10680.0,7.6,6.2393937,4.8787875,10.718751,10.387096,7.0,4.537037,-59.0,-48.5,-38.5,-21.954546,-11.433333,-4.0526314,-0.6086956,-59.0,-60.0,-59.5,-61.5,90.0,90.0,90.0,60.0,56.0,35.0,24.0,52.5,60.0,64.0,61.666664,30.0,16.25,36.666668,0.0,0.0,3.3333333,8.571428,3.5455887,3.6790252,3.8124614,10.86778,12.396635,10.240498,10.511897,98.852615,106.42181,98.517006,88.87294,60.011997,46.080414,44.347828,25.90444,47.350605,67.2,103.26277,156.0375,156.0375,156.0375,182.12105,191.68935,200.85454,267.27374,259.50858,262.8751,267.20737,267.67853,271.14572,263.88458,263.57135,256.60748,261.2539,270.0,268.00217,381.8627,813.0,1042.0,2010.0,12109.302,9451.613,7403.7036,4307.0,20758.621,18655.738,16425.0,13901.492,3.7505,92.0,2.5706172,1021.5,947.60474,0.06410718,3.5455887,156.0375,6.4799995
2025-09-25 09:00:00+00:00,168.0,588.0,1508.0,3081.0,5723.0,10676.191,7.1,5.724242,4.3484845,10.062501,10.612903,7.9655175,4.9259257,-59.0,-48.5,-38.5,-21.954546,-11.666667,-3.4999998,-0.3043478,-59.0,-60.0,-59.5,-61.5,92.0,92.0,92.0,62.0,52.0,23.0,42.0,50.0,62.222225,70.0,61.666664,32.857143,16.25,57.77778,0.0,0.0,3.3333333,8.571428,4.1046314,4.259107,4.4135823,13.675976,14.561185,14.482251,16.918924,102.45076,104.558495,93.976166,85.50368,56.85772,45.066887,43.381718,28.849957,48.536995,66.043625,105.77032,142.12495,142.12495,142.12495,151.92761,161.56496,192.72435,235.84026,256.45206,260.75397,264.8719,265.16968,262.7251,254.19742,250.78723,253.0724,261.46933,267.91748,266.7481,375.86462,806.0,1035.0,2005.0,12104.651,9448.387,7401.2344,4303.0,20758.621,18650.273,16420.834,13898.507,3.2005,94.0,2.3277535,1020.8,946.81506,0.046251714,4.1046314,142.12495,6.8399997
